AREA_SHORT_CODE,neighbourhood_name,pop_total,age_0_14,age_15_64,age_65_plus,median_age,median_total_income,tenure_total,tenure_owner,tenure_renter,commute_total,commute_car,commute_transit,commute_walk,commute_bicycle,commute_other
068,North Riverdale,11290,1790,7565,1935,43.2,54400,4905,2855,2045,2600,1155,615,465,270,90
070,South Riverdale,27815,3930,20515,3370,38.8,48800,12710,7270,5440,6925,3365,1725,1040,500,285
071,Cabbagetown-South St. James Town,11020,900,8005,2120,45.2,46800,6200,2790,3405,2955,910,785,865,260,135
072,Regent Park,12750,1745,9755,1250,35.2,33200,6110,1800,4310,3185,1220,1125,540,225,75
073,Moss Park,21490,1570,17755,2165,35.6,42800,13290,4660,8630,5520,1685,1505,1620,420,280
074,North St. James Town,18535,2165,14470,1900,36.4,33600,9530,1060,8470,5765,1540,2660,1040,315,205
095,Annex,29300,2435,21075,5785,39.6,51600,16325,6675,9655,7175,2720,1760,1715,615,360
098,Rosedale-Moore Park,20080,2395,12095,5595,50.0,67500,9875,5690,4190,3900,1985,1015,625,170,105
165,Harbourfront-CityPlace,28135,2065,24540,1525,32.0,58800,16550,6625,9930,6790,2515,1635,1980,235,430
166,St Lawrence-East Bayfront-The Islands,31285,2285,25015,3995,35.2,58000,18790,7470,11325,7585,2720,1665,2460,355,385
167,Church-Wellesley,22320,895,19315,2105,33.6,42800,14670,3565,11110,5640,1500,1850,1830,235,230
168,Downtown Yonge East,17700,1055,14695,1950,32.8,45200,11050,3990,7065,4310,1145,1150,1655,195,160
169,Bay-Cloverhill,16670,745,13815,2115,29.8,39600,10585,3210,7380,3580,880,845,1460,115,285
170,Yonge-Bay Corridor,12645,970,10820,855,31.0,44000,7465,2405,5055,3240,640,685,1675,125,125
